Symbol,MeanLogReturn,StdLogReturn,MinLogReturn,MaxLogReturn
A,-0.0017235047160757272,0.017657492586270623,-0.0562557727291652,0.02136936129614
AA,-0.004448995817696994,0.03151374383240061,-0.0746460332542714,0.0661890183447905
AAA,0.00020993956180499475,0.0009727765994528303,-0.0019892282909337,0.0021948885626284
AAAU,-0.0005709578370436841,0.0061064529829248666,-0.0110110876221292,0.0099109215572124
AABB,-0.0083909304649424,0.02689410596951821,-0.0641931453753445,0.0350913092240492
AACAF,-0.006315470281682174,0.027528496738786948,-0.1199939353519613,0.0
AACAY,-0.008997780292877006,0.027625346126649138,-0.0573928424844617,0.038172628055106
AACG,0.005653697834851786,0.04581314235383961,-0.119959313046425,0.0696798544631261
AACT,0.0003019001219500789,0.0012562864447654529,-0.0028666750544756,0.003824092951834
AACTF,-0.0052675514331640624,0.06064739030247032,-0.1466035009284091,0.1053605363538842
AADI,-0.007432969561007167,0.038436776417026926,-0.0580638072674045,0.0552626917845754
AADR,0.000994954782970421,0.009843488818969393,-0.0226576086523511,0.013872413701168
AAFRF,-0.002409212927077684,0.015493202230263127,-0.0500104485318124,0.0246925889665794
AAGC,-0.006199107565304254,0.09619372643740723,-0.223143624073785,0.223143624073785
AAGFF,-0.012460485839711296,0.044645364230389985,-0.1389514826069473,0.0468312956816382
AAGH,-0.03093613916874006,0.21503177097027373,-0.4307828731083354,0.4054651081081644
AAGIY,-0.002757907442663689,0.02246096083498774,-0.0412269729909888,0.0420540053587014
AAGR,0.0009483414781966786,0.0675241721526681,-0.1054716116411412,0.148053133118077
AAIGF,-0.0014456509755302685,0.022329083693728838,-0.0401348282668537,0.0654499381636589
AAIRF,-0.0036673637776465894,0.043737901268585774,-0.1339682893334529,0.0823362912463138
AAL,0.004104218701626948,0.04364499948841939,-0.0993622515711144,0.0977218956682607
AALBF,-0.006436389584269189,0.017895287792505106,-0.0592128452676068,0.0
AAMCF,0.011641099517043786,0.09803486393046441,-0.1056462161026408,0.3424903223788087
AAME,0.004146362849396637,0.02857991793233542,-0.0587253218355165,0.0692584655411003
AAMMF,-0.010954536600137505,0.07916830805238874,-0.1625189879337006,0.1343480542006765
AAMTF,0.002261537552942242,0.011657019580632724,-0.0067972127617149,0.0491210458479995
AANNF,-0.004481990937002532,0.037050585471177046,-0.1508228453776396,0.0454623297198133
AAOI,-0.005956783177346328,0.0684190373486849,-0.1636088572024854,0.0838131921080412
AAON,-9.267101111773168e-05,0.015471369946122766,-0.0196084933898992,0.0381313571132888
AAP,0.004320494636388943,0.013753356100694699,-0.0182661034657688,0.0261645455635082
AAPB,0.0003169831717642372,0.022991526067955393,-0.0389542282579978,0.0556607822422724
AAPD,-0.0005304908726879472,0.013247475213408022,-0.0332544341378223,0.0204685550685147
AAPJ,-0.017709060708811186,0.2052664286595166,-0.4054651808677398,0.4054651808677396
AAPL,0.000676071545595521,0.012849015341019671,-0.0194334395950963,0.0320515020196593
AAPU,0.0007276344843074,0.019243704550838854,-0.0307948328853221,0.0468805970981249
AAPX,0.001463002181805734,0.02682097164085739,-0.0395809177812677,0.060379710027142
AAPY,0.0002379556677354472,0.011686352060292508,-0.0175798117673145,0.0283113129576361
AAQL,0.01273218702995785,0.1643908660202737,-0.3587617891986252,0.6006733427678244
AARTY,0.002699647942028047,0.03640893502322644,-0.080852081400519,0.1321453922990519
AASP,-0.04670016881699405,0.15738649676861893,-0.653926504086446,0.1053605421487798
AASZF,-0.005469481567923995,0.08101982523873365,-0.1845413246337977,0.1430795049381054
AAT,0.0006838309028021739,0.018054676807674253,-0.0300907788522512,0.0313560274579166
AATC,0.013722431248314763,0.02532476215697849,-0.0398766593196106,0.0613540884197508
AATGF,-0.0026474065981808657,0.14252946354883747,-0.3364722809699078,0.3364722809699079
AATRL,0.0001078499899436104,0.011351642041122201,-0.0304592074847085,0.0253178079842897
AAUAF,-5.112869192352694e-18,0.02470267103032615,-0.0741080130909785,0.0741080130909784
AAUGF,0.025178104367040998,0.07541771184972337,0.0,0.2394630630350667
AAUKF,-0.002169574931220768,0.0272631637920356,-0.0480432913843753,0.0364911349588875
AAVMY,-0.0007709166748099476,0.01401985632784655,-0.0393419057753867,0.0169596160423374
AAVVF,0.001699245726087295,0.02642592933352396,-0.0393350025645779,0.0521857426744845
AAVXF,0.003785928041496422,0.011515132156200878,0.0,0.041964181680323
AAWH,0.018455623231110274,0.04888209098951209,-0.0575697974810603,0.1506602227008082
AAXJ,-0.0016087556342582947,0.010617479656232795,-0.0263751597301222,0.0144724591987788
AB,0.005225965275348848,0.01269451872667316,-0.0128226091788339,0.0309239234621153
ABAT,-0.023848468782445953,0.06858224628844246,-0.1983021987881277,0.0990207475623884
ABBB,0.00044201752873567363,0.0014545602805543139,0.0,0.0060060467651042
ABBNY,-0.000328151413671632,0.015300220867337086,-0.0349222910925634,0.0179747777770034
ABBRF,-0.009108535086913751,0.033336753918181375,-0.0996298575872485,0.0613689870947566
ABBV,0.0016532773137776472,0.008440463402413568,-0.0197763515511382,0.0157705093359553
ABCB,-0.00019210718545544745,0.017119778134271534,-0.0393051301490037,0.0323371896514439
ABCL,-0.0043047050842502585,0.03655899567978454,-0.0751074477160436,0.0525924464999132
ABCP,0.0014035895810280623,0.12218385838408773,-0.2454104170265668,0.2231435885671129
ABCS,-5.2048727230905284e-05,0.007497127311519912,-0.0192801017617551,0.0108705915434771
ABEO,-0.011082358041573747,0.029552918837505285,-0.0793556346016353,0.0390120013349893
